Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (466, 1, 1224, 720), Centroids: (1078.0, 361.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 641, 630), Centroids: (705.5, 883.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 2, Class: person,  Coordinates: (466, 1, 1224, 720), Centroids: (1078.0, 361.0)
Frame #: 19, Time: 592.0333333333334, Tracker ID: 3, Class: knife,  Coordinates: (85, 510, 549, 618), Centroids: (359.5, 819.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (455, 2, 1223, 720), Centroids: (1066.5, 362.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 642, 630), Centroids: (706.0, 883.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 2, Class: person,  Coordinates: (455, 2, 1223, 720), Centroids: (1066.5, 362.0)
Frame #: 20, Time: 639.9666666666667, Tracker ID: 3, Class: knife,  Coordinates: (75, 508, 551, 620), Centroids: (350.5, 818.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 2, Class: person,  Coordinates: (444, 0, 1225, 720), Centroids: (1056.5, 360.0)
Frame #: 21, Time: 672.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 569, 643, 630), Centroids: (706.5, 884.0)
Frame #: 21, Time: 672.0, Tracker ID: 2, Class: person,  Coordinates: (444, 0, 1225, 720), Centroids: (1056.5, 360.0)
Frame #: 21, Time: 672.0, Tracker ID: 3, Class: knife,  Coordinates: (76, 510, 548, 622), Centroids: (350.0, 821.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 2, Class: person,  Coordinates: (434, 0, 1226, 720), Centroids: (1047.0, 360.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 1, Class: spoon,  Coordinates: (386, 568, 644, 630), Centroids: (708.0, 883.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 2, Class: person,  Coordinates: (434, 0, 1226, 720), Centroids: (1047.0, 360.0)
Frame #: 22, Time: 704.0000000000001, Tracker ID: 3, Class: knife,  Coordinates: (74, 510, 544, 622), Centroids: (346.0, 821.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 2, Class: person,  Coordinates: (426, 0, 1228, 720), Centroids: (1040.0, 360.0)
Frame #: 23, Time: 736.0, Tracker ID: 1, Class: spoon,  Coordinates: (385, 568, 645, 630), Centroids: (707.5, 883.0)
Frame #: 23, Time: 736.0, Tracker ID: 2, Class: person,  Coordinates: (426, 0, 1228, 720), Centroids: (1040.0, 360.0)
Frame #: 23, Time: 736.0, Tracker ID: 3, Class: knife,  Coordinates: (66, 510, 513, 618), Centroids: (322.5, 819.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 2, Class: person,  Coordinates: (418, 0, 1230, 720), Centroids: (1033.0, 360.0)
Frame #: 24, Time: 768.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 630), Centroids: (709.0, 882.0)
Frame #: 24, Time: 768.1, Tracker ID: 2, Class: person,  Coordinates: (418, 0, 1230, 720), Centroids: (1033.0, 360.0)
Frame #: 24, Time: 768.1, Tracker ID: 3, Class: knife,  Coordinates: (64, 511, 498, 617), Centroids: (313.0, 819.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 2, Class: person,  Coordinates: (412, 0, 1233, 720), Centroids: (1028.5, 360.0)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 648, 631), Centroids: (709.0, 882.5)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 2, Class: person,  Coordinates: (412, 0, 1233, 720), Centroids: (1028.5, 360.0)
Frame #: 25, Time: 800.1666666666667, Tracker ID: 3, Class: knife,  Coordinates: (69, 512, 489, 615), Centroids: (313.5, 819.5)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 2, Class: person,  Coordinates: (404, 0, 1235, 720), Centroids: (1021.5, 360.0)
Frame #: 26, Time: 848.1, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 647, 631), Centroids: (708.5, 882.5)
Frame #: 26, Time: 848.1, Tracker ID: 2, Class: person,  Coordinates: (404, 0, 1235, 720), Centroids: (1021.5, 360.0)
Frame #: 26, Time: 848.1, Tracker ID: 3, Class: knife,  Coordinates: (73, 512, 483, 613), Centroids: (314.5, 818.5)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 1, Class: spoon,  Coordinates: (386, 567, 645, 630), Centroids: (708.5, 882.0)
Frame #: 27, Time: 880.2333333333335, Tracker ID: 2, Class: person,  Coordinates: (389, 0, 1230, 720), Centroids: (1004.0, 360.0)
